Date,School,Meal_Type,Rank,Recommended_Dish,Predicted_Score
2025-05-01,Brookfield Elementary,Breakfast,3,1% White Milk,0.05302216666753592
2025-05-01,Brookfield Elementary,Lunch,1,1% White Milk,0.08669018003428643
2025-05-01,Brookfield Elementary,Lunch,2,Italian Dressing,0.0736667456795719
2025-05-01,Brookfield Elementary,Lunch,3,Orange Tangerine Juice,0.07088995574795874
2025-05-01,Bucknell Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.12890162145737455
2025-05-01,Bucknell Elementary,Breakfast,2,1% White Milk,0.04981922513149479
2025-05-01,Bucknell Elementary,Breakfast,3,Orange Tangerine Juice,0.018435368912472157
2025-05-01,Bucknell Elementary,Lunch,1,Chickpeas,0.29071026316168164
2025-05-01,Bucknell Elementary,Lunch,2,1% White Milk,0.10933969016535304
2025-05-01,Bucknell Elementary,Lunch,3,Italian Dressing,0.0991982602488057
2025-05-01,Bull Run Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16766918160085362
2025-05-01,Bull Run Elementary,Breakfast,2,Banana,0.05286494724334642
2025-05-01,Bull Run Elementary,Breakfast,3,1% White Milk,0.05092255105195228
2025-05-01,Bull Run Elementary,Lunch,1,1% White Milk,0.10074963075199977
2025-05-01,Bull Run Elementary,Lunch,2,Italian Dressing,0.0995609368702742
2025-05-01,Bull Run Elementary,Lunch,3,Strawberry & Banana Yogurt Power Pack,0.05256721597720305
2025-05-01,Bush Hill Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.15850014272164825
2025-05-01,Bush Hill Elementary,Breakfast,2,1% White Milk,0.08274074517509988
2025-05-01,Bush Hill Elementary,Breakfast,3,Banana,0.05379925423383086
2025-05-01,Bush Hill Elementary,Lunch,1,Chickpeas,0.2374459554689416
2025-05-01,Bush Hill Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Bush Hill Elementary,Lunch,3,1% White Milk,0.09818936973358618
2025-05-01,CHANTILLY HS,Breakfast,1,Egg and American Cheese on Biscuit,0.11247695007116174
2025-05-01,CHANTILLY HS,Breakfast,2,Orange,0.045201820656634494
2025-05-01,CHANTILLY HS,Breakfast,3,Red Delicious Apple,0.040691848090050824
2025-05-01,CHANTILLY HS,Lunch,1,Orange Sauce,0.13371662971374268
2025-05-01,CHANTILLY HS,Lunch,2,Orange Tangerine Juice,0.07121449507178328
2025-05-01,CHANTILLY HS,Lunch,3,Black Beans,0.05183138959464833
2025-05-01,Camelot Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1407255208274747
2025-05-01,Camelot Elementary,Breakfast,2,1% White Milk,0.05797037179740957
2025-05-01,Camelot Elementary,Breakfast,3,Red Delicious Apple,0.03740162975404891
2025-05-01,Camelot Elementary,Lunch,1,Chickpeas,0.26495211161612425
2025-05-01,Camelot Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Camelot Elementary,Lunch,3,1% White Milk,0.0938322782816232
2025-05-01,Cameron Elementary,Breakfast,1,Red Delicious Apple,0.044327422070698494
2025-05-01,Cameron Elementary,Breakfast,2,Orange Tangerine Juice,0.01723836284743108
2025-05-01,Cameron Elementary,Breakfast,3,Cinnamon Chex Cereal,0.01235016074307257
2025-05-01,Cameron Elementary,Lunch,1,Chickpeas,0.2106109827725869
2025-05-01,Cameron Elementary,Lunch,2,Italian Dressing,0.09833874941353633
2025-05-01,Cameron Elementary,Lunch,3,1% White Milk,0.06360077991603814
2025-05-01,Canterbury Woods Elementary,Breakfast,1,1% White Milk,0.0966555989076035
2025-05-01,Canterbury Woods Elementary,Breakfast,2,Orange Tangerine Juice,0.02034839249722775
2025-05-01,Canterbury Woods Elementary,Breakfast,3,Cinnamon Chex Cereal,0.012835596135562819
2025-05-01,Canterbury Woods Elementary,Lunch,1,Chickpeas,0.35942587739631554
2025-05-01,Canterbury Woods Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Canterbury Woods Elementary,Lunch,3,1% White Milk,0.13981438580042824
2025-05-01,Cardinal Forest Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1483180602689025
2025-05-01,Cardinal Forest Elementary,Breakfast,2,1% White Milk,0.10019176577041664
2025-05-01,Cardinal Forest Elementary,Breakfast,3,Red Delicious Apple,0.03923213519621782
2025-05-01,Cardinal Forest Elementary,Lunch,1,Chickpeas,0.26610492199101976
2025-05-01,Cardinal Forest Elementary,Lunch,2,1% White Milk,0.0981984889094805
2025-05-01,Cardinal Forest Elementary,Lunch,3,Doritos Wild White Nacho Flavored Tortilla Chips,0.09560333525249477
2025-05-01,Carson Middle,Breakfast,1,Egg and American Cheese on Biscuit,0.2509920648449812
2025-05-01,Carson Middle,Breakfast,2,Strawberry Parfait,0.12168755599855607
2025-05-01,Carson Middle,Breakfast,3,1% White Milk,0.07891929488955163
2025-05-01,Carson Middle,Lunch,1,Soft Pretzel,0.4737392098293006
2025-05-01,Carson Middle,Lunch,2,Broccoli Florets,0.24303117529382784
2025-05-01,Carson Middle,Lunch,3,Spicy Chicken Wrap,0.23446600507600954
2025-05-01,Centre Ridge Elementary,Breakfast,1,Turkey Sausage Breakfast Biscuit,0.13090411887709433
2025-05-01,Centre Ridge Elementary,Breakfast,2,Banana,0.05935726937694611
2025-05-01,Centre Ridge Elementary,Breakfast,3,Orange,0.04353112104722684
2025-05-01,Centre Ridge Elementary,Lunch,1,Nachos with Black Beans and Cheese Sauce,0.3377583977283214
2025-05-01,Centre Ridge Elementary,Lunch,2,Chickpeas,0.2669514089161302
2025-05-01,Centre Ridge Elementary,Lunch,3,1% White Milk,0.1183229633041653
2025-05-01,Centreville Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.24410939915321433
2025-05-01,Centreville Elementary,Breakfast,2,1% White Milk,0.05805938682105841
2025-05-01,Centreville Elementary,Breakfast,3,Banana,0.05428003729627544
2025-05-01,Centreville Elementary,Lunch,1,Chickpeas,0.22537917227071932
2025-05-01,Centreville Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.12596549625759695
2025-05-01,Centreville Elementary,Lunch,3,1% White Milk,0.09891782078937415
2025-05-01,Centreville High,Breakfast,1,1% White Milk,0.06978577321441506
2025-05-01,Centreville High,Breakfast,2,"Batter, Pumpkin Bread",0.046499739031388175
2025-05-01,Centreville High,Breakfast,3,Orange Tangerine Juice,0.020589712931979223
2025-05-01,Centreville High,Lunch,1,Black Beans,0.35013633890248913
2025-05-01,Centreville High,Lunch,2,Doritos Flamas,0.2095850314608048
2025-05-01,Centreville High,Lunch,3,Kettle Cooked Smoky BBQ Chips,0.19207757178115725
2025-05-01,Cherry Run Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16076576293878025
2025-05-01,Cherry Run Elementary,Breakfast,2,1% White Milk,0.08609597903554733
2025-05-01,Cherry Run Elementary,Breakfast,3,Red Delicious Apple,0.038407262530810546
2025-05-01,Cherry Run Elementary,Lunch,1,1% White Milk,0.12582657410323667
2025-05-01,Cherry Run Elementary,Lunch,2,Italian Dressing,0.08412192773924858
2025-05-01,Cherry Run Elementary,Lunch,3,Orange Tangerine Juice,0.07089806923105436
2025-05-01,Chesterbrook Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.20217801273545083
2025-05-01,Chesterbrook Elementary,Breakfast,2,1% White Milk,0.09489542796549966
2025-05-01,Chesterbrook Elementary,Breakfast,3,Banana,0.05448940670263799
2025-05-01,Chesterbrook Elementary,Lunch,1,Chickpeas,0.2927116971620152
2025-05-01,Chesterbrook Elementary,Lunch,2,1% White Milk,0.12650045079008004
2025-05-01,Chesterbrook Elementary,Lunch,3,Italian Dressing,0.09876645984911299
2025-05-01,Churchill Road Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1641792757908781
2025-05-01,Churchill Road Elementary,Breakfast,2,Banana,0.05528942222037701
2025-05-01,Churchill Road Elementary,Breakfast,3,Strawberry Parfait,0.026479903994487845
2025-05-01,Churchill Road Elementary,Lunch,1,Italian Dressing,0.07477641837721385
2025-05-01,Churchill Road Elementary,Lunch,2,Orange Tangerine Juice,0.07003681910152723
2025-05-01,Churchill Road Elementary,Lunch,3,Soft Pretzel,0.04536840669971327
2025-05-01,Clearview Elementary,Breakfast,1,Fat Free White Milk,0.05870434763274945
2025-05-01,Clearview Elementary,Breakfast,2,1% White Milk,0.05840252489211636
2025-05-01,Clearview Elementary,Breakfast,3,Banana,0.05827656550939295
2025-05-01,Clearview Elementary,Lunch,1,Italian Dressing,0.284995573374483
2025-05-01,Clearview Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.12152225318367955
2025-05-01,Clearview Elementary,Lunch,3,Asian Meatball Sub,0.12139367415790957
2025-05-01,Clermont Elementary,Breakfast,1,Strawberry Parfait,0.20758019268396902
2025-05-01,Clermont Elementary,Breakfast,2,1% White Milk,0.08877425502374853
2025-05-01,Clermont Elementary,Breakfast,3,Egg and American Cheese on English Muffin,0.030760743456616176
2025-05-01,Clermont Elementary,Lunch,1,Doritos Wild White Nacho Flavored Tortilla Chips,0.15215575012713442
2025-05-01,Clermont Elementary,Lunch,2,Chickpeas,0.1447890017309903
2025-05-01,Clermont Elementary,Lunch,3,1% White Milk,0.12367950616550095
2025-05-01,Coates Elementary,Breakfast,1,Red Delicious Apple,0.03595110504542326
2025-05-01,Coates Elementary,Breakfast,2,1% White Milk,0.03522022269968245
2025-05-01,Coates Elementary,Breakfast,3,Orange Tangerine Juice,0.018554404957401526
2025-05-01,Coates Elementary,Lunch,1,1% White Milk,0.12828962623585602
2025-05-01,Coates Elementary,Lunch,2,Italian Dressing,0.10451063054721775
2025-05-01,Coates Elementary,Lunch,3,Fat Free Chocolate Milk,0.02879054583742897
2025-05-01,Colin Powell Elementary,Breakfast,1,1% White Milk,0.08640640570675756
2025-05-01,Colin Powell Elementary,Breakfast,2,Strawberry Parfait,0.03101234874128546
